longitude,latitude,name,location
-86.69099,34.70124,"BurgerKing-Huntsville,AL","7220 Governors Dr Nw, Huntsville,AL, (256) 722-7972"
-86.68388,34.74569,"BurgerKing-Huntsville,AL","6363 University Dr Nw, Huntsville,AL, (256) 722-0623"
-86.63766,34.75348,"BurgerKing-Huntsville,AL","2331 Jordan Ln Nw, Huntsville,AL, (256) 837-6744"
-86.62737,34.72442,"BurgerKing-Huntsville,AL","308 Jordan Ln Nw, Huntsville,AL, (256) 533-0630"
-86.60017,34.74115,"BurgerKing-Huntsville,AL","1004 N Memorial Pky , Huntsville,AL, (256) 533-1228"
-86.58585,34.7718,"BurgerKing-Huntsville,AL","3541 N Memorial Pky , Huntsville,AL, (256) 852-8033"
-86.58335,34.72924,"BurgerKing-Huntsville,AL","206 Gates Ave Se, Huntsville,AL, (256) 533-0211"
-86.57849,34.71834,"BurgerKing-Huntsville,AL","2116 Whitesburg Dr , Huntsville,AL, (256) 533-9751"
-86.56698,34.64409,"BurgerKing-Huntsville,AL","10000 Memorial Pky Sw, Huntsville,AL, (256) 881-5746"
-86.56668,34.61259,"BurgerKing-Huntsville,AL","11925 Memorial Pky Sw, Huntsville,AL, (256) 881-7638"
-86.53718,34.79777,"BurgerKing-Huntsville,AL","925 Winchester Rd , Huntsville,AL, (256) 851-2177"
-85.76141,33.81755,"BurgerKing-Jacksonville,AL","410 Pelham Rd N, Jacksonville,AL, (256) 782-2855"
-87.26764,33.84834,"BurgerKing-Jasper,AL","708 Highway 78 E, Jasper,AL, (205) 384-3821"
-86.55838,33.55558,"BurgerKing-Leeds,AL","7548 Alabama Ave, Leeds,AL, (205) 763-0094"
-86.52195,33.56283,"BurgerKing-Leeds,AL","1841 Ashville Rd, Leeds,AL, (205) 699-2500"
-88.18896,32.61614,"BurgerKing-Livingston,AL","639 Highway 28 W, Livingston,AL, (205) 652-6710"
-86.75093,34.67674,"BurgerKing-Madison,AL","8895 Madison Blvd, Madison,AL, (256) 772-3735"
-86.7421,34.70969,"BurgerKing-Madison,AL","376 Hughes Rd, Madison,AL, (256) 461-4080"
-86.3524,32.3819,"BurgerKing-Maxwell Afb,AL","1087 Self Ridge St, Maxwell Afb,AL, (334) 265-3913"
-86.9218,33.4563,"BurgerKing-Midfield,AL","100 Wiebel Drive, Midfield,AL, (205) 923-3100"
-88.22294,30.75984,"BurgerKing-Mobile,AL","7775 Moffett Rd, Mobile,AL, (251) 645-0443"
-88.22256,30.68404,"BurgerKing-Mobile,AL","7701 Airport Blvd, Mobile,AL, (251) 639-9381"
-88.19118,30.64003,"BurgerKing-Mobile,AL","6403 Cottage Hill Rd, Mobile,AL, (251) 666-8373"
-88.16918,30.59147,"BurgerKing-Mobile,AL","5380 US 90, Mobile,AL, (251) 661-5410"
-88.1497,30.72005,"BurgerKing-Mobile,AL","4710 Moffett Rd, Mobile,AL, (251) 342-6437"
-88.1459,30.63254,"BurgerKing-Mobile,AL","4100 Hwy 90 Dr, Mobile,AL, (251) 666-7240"
-88.053238,30.68639,"BurgerKing-Mobile,AL","3949 Government Boulevard, Mobile,AL, (251) 666-7240"
-88.14323,30.67569,"BurgerKing-Mobile,AL","3875 Airport Blvd, Mobile,AL, (251) 344-0007"
-88.12874,30.71142,"BurgerKing-Mobile,AL","3818 Moffett Rd, Mobile,AL, (251) 645-0443"
-88.11569,30.70148,"BurgerKing-Mobile,AL","3200 Spring Hill Ave, Mobile,AL, (251) 473-2652"
-88.11462,30.67638,"BurgerKing-Mobile,AL","3004 Airport Blvd, Mobile,AL, (251) 478-5130"
-88.11081,30.74451,"BurgerKing-Mobile,AL","2915 Saint Stephens Rd, Mobile,AL, (251) 457-4016"
-88.08303,30.67735,"BurgerKing-Mobile,AL","1862 Government St, Mobile,AL, (251) 479-3039"
-88.075,30.75815,"BurgerKing-Mobile,AL","399 S Craft Hwy, Mobile,AL, (251) 456-9414"
-88.0482,30.68779,"BurgerKing-Mobile,AL","565 Government St, Mobile,AL, (251) 433-2277"
-87.32062,31.51208,"BurgerKing-Monroeville,AL","1410 S Alabama Ave, Monroeville,AL, (251) 575-9340"
-86.30125,32.3802,"BurgerKing-Montgomery,AL","601 Madison Ave, Montgomery,AL, (334) 263-9973"
-86.28654,32.35947,"BurgerKing-Montgomery,AL","1621 Carter Hill Rd, Montgomery,AL, (334) 265-7944"
-86.21386,32.36,"BurgerKing-Montgomery,AL","5525 Carmichael Rd, Montgomery,AL, (334) 279-9103"
-86.18229,32.38267,"BurgerKing-Montgomery,AL","6621 Atlanta Hwy, Montgomery,AL, (334) 271-3725"
-86.52044,33.56982,"BurgerKing-Moody,AL","2111 Moody Pky, Moody,AL, (205) 640-4130"
-87.27092,34.47781,"BurgerKing-Moulton,AL","11157 Al Highway 157, Moulton,AL, (256) 974-6766"
-87.66748,34.70805,"BurgerKing-Muscle Shoals,AL","3105 Woodward Ave, Muscle Shoals,AL, (256) 381-0230"
-87.59449,33.23971,"BurgerKing-Northport,AL","3820 Mcfarland Blvd, Northport,AL, (205) 339-3606"
-86.46705,33.95388,"BurgerKing-Oneonta,AL","916 2nd Ave E, Oneonta,AL, (205) 625-5340"
-85.37694,32.6532,"BurgerKing-Opelika,AL","415 2nd Ave, Opelika,AL, (334) 749-3351"
-85.34682,32.64344,"BurgerKing-Opelika,AL","1400 Columbus Pky, Opelika,AL, (334) 741-9120"
-86.24901,31.27686,"BurgerKing-Opp,AL","505 E Cummings Ave, Opp,AL, (334) 493-2406"
-87.59177,30.26851,"BurgerKing-Orange Beach,AL","25405 Perdido Beach Blvd, Orange Beach,AL, (251) 981-4844"
-85.82795,33.60863,"BurgerKing-Oxford,AL","1003 Quintard Dr, Oxford,AL, (256) 831-0491"
-86.81174,33.29458,"BurgerKing-Pelham,AL","3051 Highway 31 S, Pelham,AL, (205) 664-0571"
-86.810204,33.284679,"BurgerKing-Pelham,AL","613 Cahaba Valley Road, Pelham,AL, (205) 987-1594"
-86.28871,33.6114,"BurgerKing-Pell City,AL","1407 Parkhill Pkwy, Pell City,AL, (205) 338-4303"
-85.02867,32.46836,"BurgerKing-Phenix City,AL","1135 280 Byp, Phenix City,AL, (334) 298-4874"
-85.02415,32.48549,"BurgerKing-Phenix City,AL","1820 Stadium Dr, Phenix City,AL, (334) 480-8859"
-86.42262,32.46037,"BurgerKing-Prattville,AL","1780 E Main St, Prattville,AL, (334) 365-4665"
-88.1106775,30.7445749,"BurgerKing-Prichard,AL","2924 St Stephens Road, Prichard,AL, (251) 457-4016"
-86.03579,33.95938,"BurgerKing-Rainbow City,AL","3322 Rainbow Dr, Rainbow City,AL, (256) 413-7882"
-85.85173,34.49679,"BurgerKing-Rainsville,AL","323 Main St W, Rainsville,AL, (256) 638-7799"
-86.647774,34.68404,"BurgerKing-Redstone Arsenal,AL","Redstone Arsenal,Building 3231, Redstone Arsenal,AL, (256) 881-0048"
-85.35866,33.15033,"BurgerKing-Roanoke,AL","3194 Highway 431, Roanoke,AL, (334) 863-2235"
-87.70819,30.544,"BurgerKing-Robertsdale,AL","21890 State Highway 59, Robertsdale,AL, (251) 947-5004"
-87.71751,34.51435,"BurgerKing-Russellville,AL","15455 Highway 43, Russellville,AL, (256) 332-7037"
-88.06875,30.82911,"BurgerKing-Saraland,AL","310 Saraland Blvd N, Saraland,AL, (251) 675-7743"
-86.0481,34.63089,"BurgerKing-Scottsboro,AL","3204 S Broad St, Scottsboro,AL, (256) 574-3806"
-87.03517,32.43111,"BurgerKing-Selma,AL","312 Highland Ave, Selma,AL, (334) 874-8300"
-88.23269,30.76756,"BurgerKing-Semmes,AL","8113 Moffett Rd, Semmes,AL, (251) 645-0443"
-86.25417,33.16746,"BurgerKing-Sylacauga,AL","202 W Fort Williams St, Sylacauga,AL, (256) 249-2883"
-86.09781,33.43544,"BurgerKing-Talladega,AL","318 E Battle St, Talladega,AL, (256) 362-7687"
-86.77411,33.5835,"BurgerKing-Tarrant City,AL","1500 Pinson Valley Pky, Tarrant City,AL, (205) 808-9889"
-87.737092,31.940595,"BurgerKing-Thomasville,AL","2001 Highway 43 N, Thomasville,AL, (334) 636-1991"
-85.95895,31.78403,"BurgerKing-Troy,AL","832 US 231, Troy,AL, (334) 566-6450"
-87.56841,33.20541,"BurgerKing-Tuscaloosa,AL","2515 Stillman Blvd, Tuscaloosa,AL, (205) 752-1793"
-87.55079,33.19908,"BurgerKing-Tuscaloosa,AL","1500 10th Ave, Tuscaloosa,AL, (205) 345-5229"
-87.54058,33.23379,"BurgerKing-Tuscaloosa,AL","1601 Mcfarland Blvd N, Tuscaloosa,AL, (205) 752-8001"
-87.52487,33.17434,"BurgerKing-Tuscaloosa,AL","3808 Mcfarland Blvd E, Tuscaloosa,AL, (205) 553-3616"
-87.47108,33.17632,"BurgerKing-Tuscaloosa,AL","4900 Skyland Blvd E, Tuscaloosa,AL, (205) 554-1900"
-87.70387,34.71446,"BurgerKing-Tuscumbia,AL","105 Highway 72 W, Tuscumbia,AL, (256) 383-9262"
-85.69321,32.4271,"BurgerKing-Tuskegee,AL","504 N Main St, Tuskegee,AL, (334) 727-1845"
-85.18295,32.84592,"BurgerKing-Valley,AL","2910 20th Ave, Valley,AL, (334) 768-4030"
-86.21075,32.52403,"BurgerKing-Wetumpka,AL","450 River Oaks Dr, Wetumpka,AL, (334) 213-6491"
-87.8177,33.9289,"BurgerKing-Winfield,AL","1575 US 43, Winfield,AL, (205) 487-7072"
-93.08384,34.12093,"BurgerKing-Arkadelphia,AR","2820 Pine St, Arkadelphia,AR, (870) 246-5949"
-91.62807,35.76938,"BurgerKing-Batesville,AR","2248 Harrison St, Batesville,AR, (870) 612-5283"
-92.57229,34.58189,"BurgerKing-Benton,AR","1918 Congo Rd, Benton,AR, (501) 778-1095"
-89.86978,35.92894,"BurgerKing-Blytheville,AR","3800 E State Highway 18, Blytheville,AR, (870) 762-0944"
-92.49824,34.62085,"BurgerKing-Bryant,AR","3001 N Reynolds Rd, Bryant,AR, (501) 847-5940"
-92.02839,34.97773,"BurgerKing-Cabot,AR","1100 W Main St, Cabot,AR, (501) 843-9009"
-91.95861,34.93779,"BurgerKing-Cabot,AR","3264 Bill Foster Memorial Hwy, Cabot,AR, (501) 605-0712"
-92.49082,35.09109,"BurgerKing-Conway,AR","905 Country Ln, Conway,AR, (501) 327-9730"
-92.42776,35.09169,"BurgerKing-Conway,AR","102 Oak St, Conway,AR, (501) 327-7794"
-93.16253,35.22117,"BurgerKing-Dardanelle,AR","607 Union St, Dardanelle,AR, (501) 229-1381"
-92.66548,33.22903,"BurgerKing-El Dorado,AR","1715 N West Ave, El Dorado,AR, (870) 862-5542"
-90.7895,35.03329,"BurgerKing-Forrest City,AR","2400 N Washington St, Forrest City,AR, (870) 633-9223"
-92.02921,35.50679,"BurgerKing-Heber Springs,AR","1431 Highway 25b, Heber Springs,AR, (501) 206-0355"
-93.60377,33.67931,"BurgerKing-Hope,AR","1408 N Hervey St, Hope,AR, (870) 777-4028"
-93.06,34.47504,"BurgerKing-Hot Springs National Park,AR","3340 Central Ave, Hot Springs National Park,AR, (501) 624-5890"
-93.05309,34.50345,"BurgerKing-Hot Springs National Park,AR","228 W Grand Ave, Hot Springs National Park,AR, (501) 321-2569"
-93.05642,34.65394,"BurgerKing-Hot Springs Village,AR","4447 N Highway 7, Hot Springs Village,AR, (501) 984-6360"
-93.05742,34.47325,"BurgerKing-Hot Springs,AR","217 Mcmahan St, Hot Springs,AR, (501) 623-6467"
-92.14065,34.89357,"BurgerKing-Jacksonville,AR","789 Cannon Dr, Jacksonville,AR, (501) 988-4412"
-92.12524,34.8682,"BurgerKing-Jacksonville,AR","1502 W Main St N, Jacksonville,AR, (501) 982-9803"
-92.10954,34.88487,"BurgerKing-Jacksonville,AR","2010 John Harden Dr, Jacksonville,AR, (501) 982-5459"
-90.67787,35.82806,"BurgerKing-Jonesboro,AR","1423 S Caraway Rd, Jonesboro,AR, (870) 932-0671"
-90.66457,35.73803,"BurgerKing-Jonesboro,AR","2904 Harrisburg Rd, Jonesboro,AR, (870) 972-0202"
-92.41113,34.75087,"BurgerKing-Little Rock,AR","12524 Chenal Pky, Little Rock,AR, (501) 225-9883"
-92.4087,34.71088,"BurgerKing-Little Rock,AR","12001 Colonel Glenn Rd, Little Rock,AR, (501) 954-9578"
-92.40083,34.77248,"BurgerKing-Little Rock,AR","11410 N Rodney Parham Rd, Little Rock,AR, (501) 224-9980"
-92.3669,34.75282,"BurgerKing-Little Rock,AR","100 S Rodney Parham Rd, Little Rock,AR, (501) 223-2120"
-92.34231,34.72242,"BurgerKing-Little Rock,AR","3300 S University Ave, Little Rock,AR, (501) 568-0244"
-92.3412,34.75237,"BurgerKing-Little Rock,AR","6000 W Markham St, Little Rock,AR, (501) 666-6602"
-92.33992,34.67551,"BurgerKing-Little Rock,AR","5900 Dreher Ln, Little Rock,AR, (501) 568-3340"
-92.31766,34.75127,"BurgerKing-Little Rock,AR","4015 W Markham St, Little Rock,AR, (501) 663-3115"
-93.22601,33.26691,"BurgerKing-Magnolia,AR","1114 E Main St, Magnolia,AR, (870) 234-3211"
-92.89625,34.45525,"BurgerKing-Malvern,AR","1406 Highway 270, Malvern,AR, (501) 337-7996"
-91.80221,33.62871,"BurgerKing-Monticello,AR","119 Highway 425 S, Monticello,AR, (870) 367-5000"
-92.27268,34.79356,"BurgerKing-North Little Rock,AR","4227 Camp Robinson Rd, North Little Rock,AR, (501) 753-0099"
-92.26399,34.75608,"BurgerKing-North Little Rock,AR","403 E Broadway St, North Little Rock,AR, (501) 372-8649"
-92.21461,34.789,"BurgerKing-North Little Rock,AR","4500 E Mccain Blvd, North Little Rock,AR, (501) 945-0422"
-92.20054,34.77612,"BurgerKing-North Little Rock,AR","2505 Jacksonville Hwy, North Little Rock,AR, (501) 945-1669"
-90.69968,36.02504,"BurgerKing-Paragould,AR","2523 W Kingshighway, Paragould,AR, (870) 239-5503"
-92.04359,34.23303,"BurgerKing-Pine Bluff,AR","400 N Blake St, Pine Bluff,AR, (870) 535-3709"
-92.00643,34.16942,"BurgerKing-Pine Bluff,AR","5515 S Olive St, Pine Bluff,AR, (870) 536-3756"
-92.00313,34.21636,"BurgerKing-Pine Bluff,AR","1309 S Main St, Pine Bluff,AR, (870) 535-2757"
-90.96104,36.25048,"BurgerKing-Pocahontas,AR","1604 Highway 67 S, Pocahontas,AR, (870) 892-0453"
-93.15715,35.27329,"BurgerKing-Russellville,AR","2306 W 7th St, Russellville,AR, (479) 968-5755"
-93.11561,35.27823,"BurgerKing-Russellville,AR","1420 E Main St, Russellville,AR, (501) 968-4332"
-91.69781,35.25033,"BurgerKing-Searcy,AR","3301 E Race Ave, Searcy,AR, (501) 279-2075"
-90.57305,35.55371,"BurgerKing-Trumann,AR","400 Highway 63, Trumann,AR, (870) 483-5627"
-90.1944,35.1462,"BurgerKing-West Memphis,AR","433 W Broadway St, West Memphis,AR, (870) 732-4598"
-90.15739,35.15841,"BurgerKing-West Memphis,AR","216 I40 W Service Rd, West Memphis,AR, ("
-90.78204,35.2463,"BurgerKing-Wynne,AR","1771 Falls Blvd N, Wynne,AR, (870) 238-7194"
-112.08698,33.87166,"BurgerKing-Anthem,AZ","1098 W Honda Bow Rd, Anthem,AZ, (623) 465-9282"
-111.55257,33.41536,"BurgerKing-Apache Junction,AZ","530 W Apache Trl, Apache Junction,AZ, (480) 983-1078"
-111.5286,33.38836,"BurgerKing-Apache Junction,AZ","2933 S Tomahawk Rd, Apache Junction,AZ, (480) 288-2228"
-112.3051,33.4353,"BurgerKing-Avondale,AZ","11445 W Buckeye Rd, Avondale,AZ, (623) 643-9451"
-112.29035,33.49146,"BurgerKing-Avondale,AZ","3940 N 107th Ave, Avondale,AZ, (623) 877-7543"
-112.59109,33.43187,"BurgerKing-Buckeye,AZ","1552 S Miller Rd, Buckeye,AZ, (623) 386-2796"
-114.58559,35.12188,"BurgerKing-Bullhead City,AZ","1751 Highway 95, Bullhead City,AZ, (928) 763-4379"
-111.87416,34.56562,"BurgerKing-Camp Verde,AZ","1198 W Finnie Flats Rd, Camp Verde,AZ, (928) 567-3401"
-111.74418,32.87969,"BurgerKing-Casa Grande,AZ","810 E Florence Blvd, Casa Grande,AZ, (520) 836-4892"
-111.69102,32.87956,"BurgerKing-Casa Grande,AZ","2233 E Florence Blvd, Casa Grande,AZ, (520) 426-9119"
-111.671827,32.813299,"BurgerKing-Casa Grande,AZ","5410 S Sunland Gin Rd, Casa Grande,AZ, (520) 421-0820"
-111.94845,33.30513,"BurgerKing-Chandler,AZ","6185 W Chandler Blvd, Chandler,AZ, (480) 961-4006"
-111.9268,33.31977,"BurgerKing-Chandler,AZ","4969 W Ray Rd, Chandler,AZ, (480) 705-9638"
-111.87592,33.32079,"BurgerKing-Chandler,AZ","1990 W Ray Rd, Chandler,AZ, (602) 782-0957"
-111.85844,33.27739,"BurgerKing-Chandler,AZ","1945 S Alma School Rd, Chandler,AZ, (480) 917-7580"
-111.84149,33.32088,"BurgerKing-Chandler,AZ","1001 N Arizona Ave, Chandler,AZ, (480) 963-8050"
-111.84116,33.24885,"BurgerKing-Chandler,AZ","3999 S Arizona Ave, Chandler,AZ, (480) 895-4650"
-111.85926,33.34939,"BurgerKing-Chankler,AZ","2972 N Alma School Rd, Chankler,AZ, (480) 899-7640"
-112.00127,34.72149,"BurgerKing-Cottonwood,AZ","2160 E Highway 89a, Cottonwood,AZ, (928) 639-0043"
-110.87521,32.18641,"BurgerKing-Davis Monthan Afb,AZ","3260 S Craycroft Rd, Davis Monthan Afb,AZ, (520) 745-2878"
-111.66151,35.18423,"BurgerKing-Flagstaff,AZ","1651 S Milton Rd, Flagstaff,AZ, (928) 779-1579"
